municipality_code,municipality_name,county_code,percent_vaccinated,population_total,population_total_m,population_total_f,area_km2,population_density,urbanization_rate,healthcare_advices,population_per_pharmacy,installations_watersupply,installations_toilet,installations_bathroom,installations_central_heating,installations_network_gas,appartment_area_per_person,appartments_per_1000_persons,persons_per_appartment,persons_per_room,persons_per_library,library_books_per_1000_persons,library_readers_per_1000_persons,library_loans_per_reader,forests_area,unemployed_total,unemployed_f,unemployed_m,unemployed_up_to_25,unemployed_over_50,unemployed_long_term,unemployment_rate,unemployment_rate_m,unemployment_rate_f,bicycle_paths_per_100km2,bicycle_paths_per_10k_persons,revenues_per_capita,revenues_per_capita_PIT,revenues_per_capita_CIT,expenditures_per_capita,investment_expenditures_per_capita,children_3_5_in_kindergartens,net_scholarization,marriages_per_1000_persons,birthrate_per_1000_persons,net_migrations_per_1000_persons,persons_running_business,entities_registered_per_10k_persons,county_name,average_wage_relative,doctors_per_1000_persons,beds_in_hospitals,cars_per_1000_persons,motorcycles_per_1000_persons,education_share_higher,education_share_secondary,education_share_vocational,education_share_primary,tourits_per_1000_persons,percent_population_below_25,percent_population_25_60,percent_population_over_60
615052,Komarówka Podlaska,615000,40.8,3992,2051,1941,138,28.9,0.0,13761.0,1996,92.0,79.2,76.2,64.1,0.3,33.5,379.5,2.63,0.62,1331,2456,152,10.3,1370.12,93,36,57,14,30,55,4.0,4.3,3.7,0.0,0.0,6105.66,433.19,3.02,5999.01,985.65,699.0,86.99,4.2,-12.22,-5.7,188,634,radzyński,79.4,12.4,264,714.4,65.1,16.73,33.97,24.46,20.12,30.65,25.67635270541082,53.2314629258517,17.585170340681362
615062,Radzyń Podlaski,615000,38.0,7951,4023,3928,155,51.3,0.0,9419.0,0,97.9,81.8,77.6,71.9,6.9,32.1,317.8,3.15,0.7,1590,4673,122,12.7,1355.72,250,125,125,52,46,132,5.2,4.7,5.8,0.0,0.0,5892.63,535.19,13.55,6291.2,1487.8,591.0,78.42,4.0,-2.14,2.6,513,761,radzyński,79.4,12.4,264,714.4,65.1,16.73,33.97,24.46,20.12,30.65,29.78241730599925,54.72267639290656,14.048547352534271
615072,Ulan-Majorat,615000,39.6,5666,2961,2705,108,52.6,0.0,18846.0,5666,93.5,81.9,75.8,70.1,15.3,29.7,299.7,3.34,0.75,2833,2732,117,12.3,1060.08,139,64,75,41,21,71,4.1,3.9,4.3,0.0,0.0,6077.89,411.53,0.46,6161.16,967.11,687.0,88.51,5.8,-3.52,-5.5,286,607,radzyński,79.4,12.4,264,714.4,65.1,16.73,33.97,24.46,20.12,30.65,30.991881397811504,53.65337098482175,13.113307447935052
615082,Wohyń,615000,45.1,6363,3218,3145,178,35.7,0.0,15251.0,6363,95.5,76.0,71.8,68.2,2.7,32.8,374.4,2.67,0.65,3182,2629,83,4.4,1610.23,204,98,106,47,51,113,5.6,5.1,6.2,0.0,0.0,5371.09,413.59,21.09,5128.74,280.52,637.0,86.58,4.7,-11.21,-8.3,277,558,radzyński,79.4,12.4,264,714.4,65.1,16.73,33.97,24.46,20.12,30.65,27.314159987427317,52.978154958352974,17.16171617161716
616011,Dęblin,616000,59.3,14884,7245,7639,38,388.3,100.0,90653.0,1488,99.0,93.7,92.7,86.9,68.0,29.5,437.9,2.28,0.61,3721,2894,145,23.7,15.7,487,248,239,57,133,271,5.8,5.2,6.5,29.74,7.66,5386.52,1030.59,30.77,5804.28,915.72,901.0,98.7,2.9,-4.67,-3.9,851,808,rycki,79.4,10.9,93,753.6,74.4,19.61,40.12,20.99,14.57,97.73,24.02579951625907,53.84977156678312,19.853533996237573
616022,Kłoczew,616000,42.7,6935,3506,3429,143,48.5,0.0,9249.0,3468,88.1,78.7,75.0,71.0,13.6,28.2,291.0,3.44,0.82,3468,2010,79,14.0,2363.3,209,98,111,57,43,118,5.3,4.9,5.7,0.0,0.0,6204.46,449.44,6.24,5184.36,501.98,831.0,87.11,4.2,0.29,-3.4,363,630,rycki,79.4,10.9,93,753.6,74.4,19.61,40.12,20.99,14.57,97.73,30.829127613554437,52.11247296323,14.390771449170872
616032,Nowodwór,616000,48.4,3949,1997,1952,72,54.9,0.0,9498.0,3949,94.5,81.3,74.1,72.9,0.2,27.8,294.8,3.39,0.79,3949,2085,39,10.6,1679.73,126,69,57,24,21,82,5.4,4.4,6.7,0.0,0.0,5676.72,457.22,0.77,5322.48,405.86,788.0,86.45,6.6,-1.26,-1.5,176,544,rycki,79.4,10.9,93,753.6,74.4,19.61,40.12,20.99,14.57,97.73,29.754368194479614,53.32995695112687,14.813876930868574
616043,Ryki,616000,53.0,19552,9603,9949,162,120.9,47.2,167768.0,2444,96.4,90.7,87.6,80.7,49.9,30.6,356.4,2.81,0.67,4888,2317,99,16.5,2535.83,651,314,337,114,143,366,5.8,5.5,6.2,5.38,4.45,6057.53,891.97,28.31,5871.29,1406.26,845.0,96.68,4.3,-3.15,-4.9,1407,946,rycki,79.4,10.9,93,753.6,74.4,19.61,40.12,20.99,14.57,97.73,26.554828150572828,53.682487725040914,17.62479541734861
616052,Stężyca,616000,60.0,4910,2470,2440,116,42.3,0.0,17142.0,4910,90.5,81.4,78.0,70.9,30.5,32.4,400.2,2.5,0.65,1637,4578,157,12.9,2134.69,130,62,68,30,27,70,4.7,4.3,5.2,0.43,1.02,5407.85,895.76,13.51,4847.29,146.22,764.0,91.56,3.0,-5.9,-2.8,229,644,rycki,79.4,10.9,93,753.6,74.4,19.61,40.12,20.99,14.57,97.73,25.132382892057027,53.360488798370675,18.69653767820774
616062,Ułęż,616000,51.4,2922,1442,1480,84,35.0,0.0,13946.0,2922,92.7,77.4,72.9,62.5,0.8,34.2,410.7,2.44,0.63,2922,4434,117,24.3,676.17,98,48,50,20,32,52,5.9,5.4,6.6,0.0,0.0,6325.88,510.58,7.39,5019.48,499.69,614.0,73.03,1.0,-8.14,-8.8,164,794,rycki,79.4,10.9,93,753.6,74.4,19.61,40.12,20.99,14.57,97.73,25.770020533880906,53.42231348391513,17.693360711841205
617011,Świdnik,617000,56.0,37990,17999,19991,20,1866.8,100.0,220481.0,2374,98.6,98.6,98.5,95.1,96.5,26.2,424.0,2.36,0.67,3454,2176,217,14.5,25.65,1 256,643,613,101,314,655,5.9,5.4,6.3,171.5,9.19,6134.09,1015.09,99.29,6581.45,2198.12,1033.0,103.83,4.0,-3.09,-6.6,2890,981,świdnicki,91.9,17.0,181,661.8,60.9,24.94,37.63,18.44,14.39,147.88,22.463806264806525,54.84337983679916,20.260594893392998
617022,Mełgiew,617000,49.0,10459,5160,5299,95,110.3,0.0,13813.0,10459,93.8,88.2,85.1,76.9,63.5,33.7,322.6,3.1,0.66,3486,1994,72,25.1,532.96,331,174,157,46,72,204,5.3,4.7,5.9,7.06,6.41,5335.42,728.9,26.77,5034.74,1041.21,512.0,63.64,3.4,-1.73,11.5,722,864,świdnicki,91.9,17.0,181,661.8,60.9,24.94,37.63,18.44,14.39,147.88,28.58781910316474,55.76058896644038,13.997514102686681
617033,Piaski,617000,51.7,10352,4977,5375,170,60.9,24.0,53075.0,2588,88.2,78.5,74.7,70.9,15.5,30.6,360.5,2.77,0.7,2588,2795,134,12.5,1127.59,393,199,194,57,89,227,6.5,5.9,7.2,0.0,0.0,5515.15,616.75,9.99,5248.65,1018.0,688.0,91.81,3.9,-6.25,0.9,677,837,świdnicki,91.9,17.0,181,661.8,60.9,24.94,37.63,18.44,14.39,147.88,25.589258114374037,54.472565687789796,17.706723338485318
617042,Rybczewice,617000,54.3,3296,1616,1680,99,33.2,0.0,16920.0,1648,89.3,61.6,54.3,48.4,0.2,32.8,401.1,2.49,0.7,3296,3348,62,7.8,774.88,108,48,60,27,18,70,5.8,5.8,5.8,0.0,0.0,6229.66,362.67,1.23,6632.11,2622.08,724.0,83.2,1.8,-7.57,0.6,126,522,świdnicki,91.9,17.0,181,661.8,60.9,24.94,37.63,18.44,14.39,147.88,22.96723300970874,52.73058252427184,20.78276699029126
617052,Trawniki,617000,46.8,8680,4276,4404,84,103.1,0.0,39370.0,2893,94.9,78.1,73.2,72.7,0.4,27.8,342.1,2.92,0.75,2893,2392,154,12.6,383.97,394,198,196,49,115,241,7.6,6.8,8.5,3.21,3.11,4603.95,501.73,11.52,4842.74,839.76,685.0,83.53,3.3,-5.62,-0.3,420,597,świdnicki,91.9,17.0,181,661.8,60.9,24.94,37.63,18.44,14.39,147.88,26.24423963133641,55.64516129032258,16.152073732718893
618011,Tomaszów Lubelski,618000,55.9,18679,8840,9839,13,1405.5,100.0,150512.0,1038,99.0,98.5,98.2,89.3,94.1,31.4,377.5,2.65,0.61,1437,2977,270,14.1,71.0,605,305,300,61,145,285,5.6,5.2,6.0,26.34,1.87,6187.38,911.79,35.71,5898.31,1341.06,1215.0,132.9,3.8,-6.21,-6.2,2401,1621,tomaszowski,78.5,14.1,472,636.5,31.9,17.69,34.71,21.72,20.62,274.5,21.98725841854489,56.405589164302164,19.465710155789925
618022,Bełżec,618000,45.8,3230,1627,1603,33,96.3,0.0,9753.0,3230,88.2,86.7,85.4,83.0,30.6,26.0,291.6,3.43,0.8,1615,3070,132,14.3,426.97,121,55,66,8,22,54,6.3,6.2,6.3,0.0,0.0,5380.46,395.72,3.25,5689.27,1160.29,578.0,88.67,5.9,-3.11,-6.8,194,749,tomaszowski,78.5,14.1,472,636.5,31.9,17.69,34.71,21.72,20.62,274.5,27.58513931888545,55.94427244582043,14.396284829721361
618032,Jarczów,618000,48.9,3243,1605,1638,107,30.4,0.0,6314.0,3243,95.9,79.2,77.1,75.7,0.4,33.3,362.3,2.76,0.68,1622,2746,122,9.4,222.0,99,55,44,28,15,56,5.3,4.2,6.7,9.1,29.91,5032.47,303.83,2.1,5075.04,579.08,352.0,60.77,7.1,-3.68,-4.3,160,691,tomaszowski,78.5,14.1,472,636.5,31.9,17.69,34.71,21.72,20.62,274.5,25.77860006167129,52.8522972556275,17.946345975948198
618042,Krynice,618000,42.9,3107,1536,1571,74,42.2,0.0,10284.0,3107,95.0,75.6,70.2,71.5,25.5,30.4,351.1,2.85,0.73,1554,4741,145,14.5,536.5,89,45,44,20,22,45,5.0,4.6,5.6,0.0,0.0,5785.17,371.06,0.58,5956.38,1723.14,659.0,84.98,4.5,-8.68,2.3,151,682,tomaszowski,78.5,14.1,472,636.5,31.9,17.69,34.71,21.72,20.62,274.5,24.23559703894432,53.49211457998069,19.343418088187963
618053,Lubycza Królewska,618000,44.6,5792,2897,2895,208,27.8,38.0,17542.0,2896,98.1,91.1,90.2,74.5,4.3,27.4,356.0,2.81,0.72,2896,4117,189,10.4,410.8,350,189,161,57,89,188,9.8,8.0,12.1,0.48,1.73,5408.39,458.23,47.18,4698.23,229.31,570.0,82.54,3.8,-5.48,-6.5,269,684,tomaszowski,78.5,14.1,472,636.5,31.9,17.69,34.71,21.72,20.62,274.5,24.91367403314917,57.113259668508285,16.004834254143645
618063,Łaszczów,618000,48.9,5678,2751,2927,128,44.3,35.6,23990.0,2839,95.0,84.2,80.0,79.1,0.1,32.4,359.5,2.78,0.68,2839,1829,68,13.6,71.0,187,89,98,37,46,98,5.7,5.5,6.0,0.0,0.0,5292.15,392.22,1.88,4872.37,246.87,745.0,106.0,2.8,-7.72,-3.2,268,592,tomaszowski,78.5,14.1,472,636.5,31.9,17.69,34.71,21.72,20.62,274.5,23.81120112715745,53.96266290947517,19.17928848185981
618072,Rachanie,618000,43.4,4808,2412,2396,94,51.0,0.0,18158.0,4808,94.4,78.4,71.2,74.4,0.2,29.4,365.2,2.74,0.72,1603,3016,112,15.5,412.5,204,100,104,37,61,122,7.3,6.6,8.4,0.0,0.0,5283.23,400.98,0.89,5027.13,851.01,487.0,81.61,3.7,-9.52,-10.6,248,674,tomaszowski,78.5,14.1,472,636.5,31.9,17.69,34.71,21.72,20.62,274.5,23.93926788685524,54.82529118136439,17.970049916805326
618082,Susiec,618000,44.9,7188,3603,3585,191,37.7,0.0,30361.0,3594,96.7,81.4,75.0,70.8,39.2,29.9,341.1,2.93,0.72,3594,1909,95,10.8,3141.4,229,118,111,39,48,108,5.3,4.6,6.2,11.38,30.19,5375.12,349.15,1.91,4651.59,659.4,559.0,83.55,4.7,-6.24,-1.4,437,755,tomaszowski,78.5,14.1,472,636.5,31.9,17.69,34.71,21.72,20.62,274.5,25.612131329994437,55.509181969949914,16.082359488035614
618092,Tarnawatka,618000,44.5,3834,1927,1907,83,46.3,0.0,15405.0,3834,97.3,80.8,75.5,80.6,7.5,27.5,319.2,3.13,0.79,1278,2683,132,11.7,300.0,171,104,67,25,46,94,7.4,5.2,10.0,3.86,8.35,6048.46,339.28,5.64,5301.88,818.22,583.0,73.68,3.9,-2.6,-2.6,187,613,tomaszowski,78.5,14.1,472,636.5,31.9,17.69,34.71,21.72,20.62,274.5,27.41262389149713,55.633802816901415,14.840897235263432
618102,Telatyn,618000,46.3,3708,1840,1868,112,33.2,0.0,7407.0,3708,96.9,89.8,85.0,78.4,0.2,31.1,332.0,3.01,0.7,3708,4232,100,18.6,132.0,107,60,47,20,26,65,5.0,3.9,6.4,0.0,0.0,5334.51,350.99,0.03,5806.67,1781.82,448.0,82.12,4.8,-11.53,-4.3,197,717,tomaszowski,78.5,14.1,472,636.5,31.9,17.69,34.71,21.72,20.62,274.5,23.516720604099245,54.01833872707659,19.390507011866234
618112,Tomaszów Lubelski,618000,44.8,11075,5471,5604,171,64.8,0.0,8943.0,0,95.2,86.3,83.6,80.4,27.4,32.3,316.8,3.16,0.7,1231,2042,74,14.6,1928.2,381,216,165,60,84,174,5.5,4.4,6.8,22.06,34.04,5063.15,479.31,2.03,5048.48,1020.54,667.0,55.73,2.8,-5.68,-2.5,720,769,tomaszowski,78.5,14.1,472,636.5,31.9,17.69,34.71,21.72,20.62,274.5,27.683972911963885,56.7313769751693,13.480812641083523
618123,Tyszowce,618000,51.8,5344,2679,2665,128,41.6,36.3,18404.0,1781,90.3,84.8,78.2,76.9,0.8,31.5,337.8,2.96,0.72,2672,2730,153,19.8,665.0,127,58,69,27,22,58,4.1,4.0,4.2,0.7,1.68,6000.83,363.63,0.23,6052.02,1385.45,641.0,87.97,3.9,-10.22,-6.3,299,728,tomaszowski,78.5,14.1,472,636.5,31.9,17.69,34.71,21.72,20.62,274.5,25.0,53.53667664670658,18.394461077844312
618132,Ulhówek,618000,45.2,4223,2069,2154,147,28.8,0.0,13977.0,4223,97.7,90.9,88.2,76.7,0.2,30.6,367.5,2.72,0.71,4223,2377,91,27.4,240.0,226,121,105,34,60,145,8.8,7.3,10.7,2.32,8.05,5183.73,282.18,0.18,4231.72,127.29,596.0,84.75,5.2,-11.58,-12.3,162,575,tomaszowski,78.5,14.1,472,636.5,31.9,17.69,34.71,21.72,20.62,274.5,21.927539663746153,57.77883021548662,17.546767700686715
619011,Włodawa,619000,57.8,12534,5988,6546,18,697.5,100.0,109434.0,1393,98.5,97.9,97.1,92.5,4.2,27.1,395.9,2.53,0.66,6267,3866,174,14.7,69.5,672,331,341,79,176,428,9.4,8.9,10.0,81.8,11.73,5235.79,793.87,19.36,4974.08,449.71,997.0,118.76,3.7,-5.31,-5.2,916,996,włodawski,78.5,9.5,268,812.1,89.6,17.99,36.61,19.42,20.72,621.04,23.360459550023936,54.8348492101484,20.16116164033828
619022,Hanna,619000,48.9,2638,1338,1300,139,18.9,0.0,960.0,0,95.7,79.8,76.7,68.1,0.2,35.6,375.7,2.66,0.61,2638,2486,85,10.1,1005.6,147,80,67,26,26,100,9.5,7.6,12.0,8.11,42.84,5881.83,468.9,2.19,6093.48,1375.35,492.0,77.57,2.6,-10.85,-8.2,125,656,włodawski,78.5,9.5,268,812.1,89.6,17.99,36.61,19.42,20.72,621.04,23.085670962850642,55.5724033358605,18.08188021228203
619032,Hańsk,619000,51.1,3559,1809,1750,176,20.2,0.0,15356.0,3559,96.4,86.1,84.3,74.6,0.7,27.5,347.3,2.88,0.76,3559,2168,98,16.2,778.77,225,142,83,42,44,141,10.6,7.0,15.2,0.0,0.0,6180.03,507.19,0.98,6134.85,1793.05,607.0,73.01,3.1,-1.4,-5.3,180,618,włodawski,78.5,9.5,268,812.1,89.6,17.99,36.61,19.42,20.72,621.04,27.676313571227873,55.127844900252875,14.91992132621523
619042,Stary Brus,619000,56.4,1933,959,974,132,14.7,0.0,8329.0,1933,92.1,71.2,64.3,61.3,0.2,32.5,420.6,2.38,0.65,967,6754,106,11.1,1288.0,144,87,57,21,32,105,13.2,9.3,18.0,0.0,0.0,6399.34,396.37,0.52,6304.25,1086.57,500.0,77.91,6.7,-6.66,-8.7,72,569,włodawski,78.5,9.5,268,812.1,89.6,17.99,36.61,19.42,20.72,621.04,26.280393171236422,52.560786342472845,17.79617175375065
619052,Urszulin,619000,43.8,4150,2085,2065,172,24.1,0.0,19473.0,2075,95.0,81.8,77.9,71.4,0.1,34.7,382.9,2.61,0.63,2075,2514,130,12.1,1207.8,185,110,75,35,33,118,7.6,5.6,10.0,2.73,11.33,7354.88,593.03,0.84,7637.08,2626.72,761.0,95.37,4.4,-2.42,1.2,205,687,włodawski,78.5,9.5,268,812.1,89.6,17.99,36.61,19.42,20.72,621.04,28.771084337349397,54.024096385542165,14.626506024096386
619062,Włodawa,619000,48.2,5779,2931,2848,245,23.6,0.0,,0,93.9,83.4,81.5,74.2,3.2,31.9,361.7,2.77,0.65,963,3670,74,16.2,1824.0,403,216,187,47,85,267,11.7,9.8,14.1,9.35,39.63,5348.83,537.08,2.56,5337.38,967.6,552.0,47.8,3.3,-9.77,-0.2,360,834,włodawski,78.5,9.5,268,812.1,89.6,17.99,36.61,19.42,20.72,621.04,26.319432427755668,56.20349541443156,15.487108496279633
619072,Wola Uhruska,619000,49.0,3705,1834,1871,154,24.0,0.0,11821.0,3705,88.9,82.1,77.7,75.2,2.2,32.2,415.1,2.41,0.62,3705,2491,97,14.3,1215.83,299,151,148,36,88,200,13.4,12.0,15.0,0.0,0.0,5832.59,424.0,1.36,5790.27,1507.95,807.0,85.6,2.1,-8.32,-0.8,128,499,włodawski,78.5,9.5,268,812.1,89.6,17.99,36.61,19.42,20.72,621.04,22.483130904183536,56.84210526315789,18.218623481781375
619082,Wyryki,619000,51.4,2364,1198,1166,220,10.7,0.0,9629.0,0,94.7,77.0,73.0,70.2,0.5,32.4,402.3,2.49,0.63,1182,4810,164,6.7,2405.06,169,93,76,19,47,109,12.0,9.5,15.3,0.0,0.0,5816.75,380.62,1.43,5612.16,762.37,564.0,66.83,3.4,-8.82,-5.0,96,575,włodawski,78.5,9.5,268,812.1,89.6,17.99,36.61,19.42,20.72,621.04,24.492385786802032,56.04906937394247,16.539763113367172
620012,Adamów,620000,47.5,4531,2287,2244,111,40.9,0.0,18787.0,4531,82.5,78.8,73.1,69.9,29.8,30.1,352.2,2.84,0.74,4531,3460,66,14.6,1843.54,192,91,101,29,50,90,7.2,6.7,7.8,0.0,0.0,4882.64,356.64,-0.93,4696.1,738.64,412.0,77.02,5.5,-9.85,-4.2,289,799,zamojski,74.9,5.7,48,633.5,42.0,17.43,33.71,23.49,20.11,314.48,26.925623482674904,53.65261531670713,16.50849702052527
620022,Grabowiec,620000,48.0,3733,1882,1851,128,29.1,0.0,17899.0,1867,80.3,72.2,66.5,67.7,0.2,33.5,378.5,2.64,0.68,3733,2437,109,25.3,671.29,215,108,107,42,36,138,10.2,8.9,12.1,0.0,0.0,4890.03,331.3,0.83,4906.86,428.0,530.0,89.08,5.0,-16.83,-12.6,141,501,zamojski,74.9,5.7,48,633.5,42.0,17.43,33.71,23.49,20.11,314.48,22.502009107956066,52.531476024645066,20.975087061344762
620032,Komarów-Osada,620000,48.0,4637,2287,2350,124,37.5,0.0,12556.0,2319,83.4,74.2,70.1,68.9,41.2,31.2,354.8,2.82,0.71,4637,2067,82,9.0,608.71,236,124,112,38,41,138,8.8,7.6,10.4,0.0,0.0,4898.8,368.92,0.62,4470.0,323.82,433.0,77.62,4.5,-7.06,-5.6,235,641,zamojski,74.9,5.7,48,633.5,42.0,17.43,33.71,23.49,20.11,314.48,24.649557903817122,53.569117964201,18.266120336424414
620043,Krasnobród,620000,47.5,6836,3440,3396,127,53.9,44.2,28432.0,1709,96.8,85.1,79.0,72.8,42.3,32.0,347.3,2.88,0.66,3418,2095,76,16.2,3507.1,294,145,149,50,56,169,7.1,6.6,7.8,1.1,2.05,5640.7,526.41,8.13,5380.59,1043.98,753.0,94.18,4.8,-12.18,0.9,496,898,zamojski,74.9,5.7,48,633.5,42.0,17.43,33.71,23.49,20.11,314.48,26.228788765359862,54.63721474546518,16.500877706260972
620052,Łabunie,620000,45.0,6030,2935,3095,87,69.1,0.0,14629.0,6030,88.3,85.0,84.1,79.9,54.7,31.1,301.3,3.32,0.72,3015,4566,170,18.5,791.98,265,133,132,38,59,154,7.1,6.6,7.6,0.0,0.0,4993.66,452.46,0.41,4897.67,744.01,719.0,85.54,5.1,-8.61,-1.3,398,746,zamojski,74.9,5.7,48,633.5,42.0,17.43,33.71,23.49,20.11,314.48,26.965174129353237,56.53399668325041,14.228855721393035
620062,Miączyn,620000,46.5,5333,2686,2647,156,34.2,0.0,24082.0,5333,75.5,74.3,69.9,73.2,21.5,28.7,324.4,3.08,0.78,5333,2697,137,14.5,810.23,231,132,99,37,59,131,7.2,5.5,9.4,0.0,0.0,4965.06,294.59,1.77,4712.55,268.34,589.0,78.73,2.8,-9.18,-4.9,213,506,zamojski,74.9,5.7,48,633.5,42.0,17.43,33.71,23.49,20.11,314.48,25.407837989874366,55.03468966810425,16.40727545471592
620072,Nielisz,620000,50.5,5257,2592,2665,112,46.8,0.0,12960.0,5257,82.8,68.6,61.9,60.7,3.4,32.1,346.8,2.88,0.73,2629,2532,103,19.1,720.21,183,78,105,34,37,86,6.0,6.1,5.8,5.61,11.98,5582.65,312.56,0.42,5104.3,847.43,500.0,74.46,4.0,-9.08,-0.4,217,540,zamojski,74.9,5.7,48,633.5,42.0,17.43,33.71,23.49,20.11,314.48,24.63382157123835,53.775917823853916,18.261365797983643
620082,Radecznica,620000,41.3,5264,2601,2663,110,47.9,0.0,15066.0,1755,95.8,71.7,65.3,63.2,0.2,34.9,402.4,2.49,0.66,2632,3851,150,12.1,2400.31,129,65,64,32,23,68,4.3,3.8,4.9,0.0,0.0,5895.58,387.02,0.65,5971.49,1999.61,457.0,91.09,4.9,-15.94,-6.9,228,574,zamojski,74.9,5.7,48,633.5,42.0,17.43,33.71,23.49,20.11,314.48,21.238601823708205,54.14133738601824,21.08662613981763
620092,Sitno,620000,44.7,6594,3308,3286,112,59.0,0.0,23084.0,0,90.6,86.7,84.1,82.0,57.4,30.6,301.2,3.32,0.73,2198,2185,79,11.1,549.2,271,144,127,44,47,147,6.9,5.9,8.1,0.0,0.0,5314.84,730.62,0.58,5229.94,518.38,865.0,86.6,3.0,-4.11,4.3,419,736,zamojski,74.9,5.7,48,633.5,42.0,17.43,33.71,23.49,20.11,314.48,26.56960873521383,56.384592053381866,14.61935092508341
620102,Skierbieszów,620000,45.7,4880,2440,2440,139,35.1,0.0,23154.0,2440,83.5,67.6,61.8,66.6,0.3,31.5,361.7,2.76,0.69,2440,2867,103,17.0,1598.65,233,115,118,55,43,128,8.3,7.5,9.3,0.0,0.0,6462.68,303.7,0.47,5712.76,1455.67,540.0,81.31,3.3,-9.37,0.4,247,625,zamojski,74.9,5.7,48,633.5,42.0,17.43,33.71,23.49,20.11,314.48,25.102459016393443,53.09426229508196,18.114754098360656
620112,Stary Zamość,620000,46.3,4989,2497,2492,98,51.2,0.0,15601.0,4989,94.5,76.5,70.4,69.9,51.6,34.7,367.4,2.72,0.66,1663,4483,89,15.5,1044.94,231,116,115,49,37,130,7.8,7.1,8.8,0.0,0.0,5911.37,426.74,0.57,5509.33,1222.34,582.0,81.23,3.0,-8.01,0.2,274,645,zamojski,74.9,5.7,48,633.5,42.0,17.43,33.71,23.49,20.11,314.48,25.876929244337543,54.439767488474644,16.576468230106233
620122,Sułów,620000,42.9,4261,2034,2227,93,45.7,0.0,10760.0,0,96.5,70.7,63.9,65.5,0.0,35.4,416.8,2.4,0.66,1420,5391,139,21.3,588.73,179,89,90,34,45,114,7.3,6.7,8.1,0.0,0.0,5003.88,346.42,0.53,4807.29,538.02,469.0,75.45,3.9,-11.37,-5.6,168,528,zamojski,74.9,5.7,48,633.5,42.0,17.43,33.71,23.49,20.11,314.48,23.2339826331847,54.212626144097634,19.17390283970899
620133,Szczebrzeszyn,620000,45.2,10892,5290,5602,123,88.2,44.7,44779.0,2178,95.2,83.0,78.9,74.4,12.0,31.1,368.2,2.72,0.69,5446,1625,95,19.5,2609.33,461,219,242,70,103,247,7.0,6.8,7.3,9.47,10.74,4675.01,566.04,13.05,4500.91,642.31,801.0,89.26,3.9,-5.96,-1.4,582,665,zamojski,74.9,5.7,48,633.5,42.0,17.43,33.71,23.49,20.11,314.48,24.256334924715386,55.91259640102828,17.141020932794714
620142,Zamość,620000,47.5,23588,11575,12013,196,120.3,0.0,35762.0,11794,93.0,90.7,89.2,79.5,56.0,35.0,317.5,3.15,0.65,2144,2498,78,16.7,1232.41,797,417,380,115,190,397,5.5,4.9,6.1,3.82,3.18,4727.64,755.17,3.02,4453.85,578.64,572.0,74.44,4.1,-1.65,5.2,1926,934,zamojski,74.9,5.7,48,633.5,42.0,17.43,33.71,23.49,20.11,314.48,27.66661014074953,57.092589452263866,13.358487366457522
620153,Zwierzyniec,620000,49.7,6358,3069,3289,154,41.4,46.0,21288.0,3179,96.3,82.4,78.9,71.2,40.3,31.6,398.9,2.51,0.65,6358,2819,124,23.1,2499.57,248,122,126,31,76,158,6.7,6.2,7.3,6.06,14.63,5076.05,750.77,163.54,5059.04,894.15,810.0,84.57,4.0,-7.62,-4.4,426,856,zamojski,74.9,5.7,48,633.5,42.0,17.43,33.71,23.49,20.11,314.48,23.199119219880465,55.489147530670024,18.386284995281535
661011,Biała Podlaska,661000,54.1,55532,26433,29099,49,1124.1,100.0,308617.0,2414,98.5,96.9,96.1,90.9,48.0,30.1,430.8,2.32,0.61,9255,3947,195,22.6,414.0,2 637,1 256,1 381,272,625,1 583,8.0,8.0,8.1,42.51,3.78,7560.86,1168.89,35.86,7194.12,1140.72,1028.0,110.04,4.2,-0.79,-2.0,4661,1156,m. Biała Podlaska,81.6,49.0,610,671.4,40.9,30.33,38.49,16.33,10.14,343.14,25.19448246056328,56.675430382482176,16.417561045883456
662011,Chełm,662000,54.9,59711,27904,31807,35,1692.5,100.0,372657.0,2388,99.3,98.6,97.6,90.8,67.4,27.7,432.6,2.31,0.64,11942,3459,180,13.2,5.51,2 745,1 468,1 277,253,696,1 526,7.9,7.0,9.0,54.14,3.2,8225.53,1098.26,44.34,8073.15,1784.71,1147.0,105.39,3.2,-6.15,-7.3,4395,997,m. Chełm,83.0,35.8,512,653.7,42.7,27.88,39.45,15.88,11.94,162.51,21.560516487749325,56.80527875935757,19.430255731774714
663011,Lublin,663000,61.0,335114,154792,180322,148,2272.4,100.0,1847319.0,2343,98.9,97.8,97.1,91.3,85.8,29.0,481.9,2.08,0.59,7793,3023,164,15.4,344.29,10 270,4 990,5 280,924,2 507,5 644,5.2,5.3,5.2,122.67,5.4,7136.45,1547.22,148.53,7400.77,738.12,997.0,105.91,4.2,-2.5,-0.5,32903,1435,m. Lublin,98.0,78.1,3968,605.5,29.1,39.4,34.45,12.19,9.27,587.53,23.645684752054525,55.80071259332645,18.140095609255358
