county_code,county_name,average_wage_relative,doctors_per_1000_persons,beds_in_hospitals,cars_per_1000_persons,motorcycles_per_1000_persons,education_share_higher,education_share_secondary,education_share_vocational,education_share_primary,tourits_per_1000_persons
2475000,m. Sosnowiec,90.7,26.0,1189,596.0,23.6,23.7,38.9,20.68,12.24,84.81
2476000,m. Świętochłowice,83.4,11.8,236,538.8,25.5,18.03,33.62,26.41,16.32,0
2477000,m. Tychy,95.4,18.8,458,680.3,29.8,25.52,36.82,21.57,11.36,224.09
2478000,m. Zabrze,94.7,37.4,1159,573.0,27.8,20.22,35.29,22.57,14.92,233.45
2479000,m. Żory,86.6,13.9,164,601.2,29.0,19.26,33.14,28.05,13.98,140.35
2601000,buski,79.2,25.9,378,647.2,68.0,19.24,33.16,25.01,18.23,892.79
2602000,jędrzejowski,90.0,11.6,152,615.6,50.6,19.3,33.91,23.45,18.76,64.85
2603000,kazimierski,76.7,6.4,48,736.0,53.0,14.13,36.35,22.92,21.48,0
2604000,kielecki,78.9,13.0,419,611.7,45.6,22.25,31.4,22.83,18.87,259.04
2605000,konecki,81.1,29.0,521,611.9,49.1,18.05,32.54,24.06,20.96,225.48
2606000,opatowski,77.3,7.6,74,722.7,66.2,16.18,32.42,26.54,20.6,148.26
2607000,ostrowiecki,80.5,20.8,344,542.4,36.2,20.12,35.8,23.95,15.48,138.88
2608000,pińczowski,80.5,8.5,93,659.9,54.9,18.85,35.45,22.86,18.6,0
2609000,sandomierski,89.9,23.6,508,676.7,64.4,21.45,36.95,21.52,15.74,453
2610000,skarżyski,86.1,19.6,251,573.1,39.9,23.35,39.22,20.72,12.39,205.02
2611000,starachowicki,84.9,22.7,327,657.9,41.3,20.46,36.6,22.68,16.03,216.52
2612000,staszowski,87.4,17.0,375,718.8,74.1,19.36,32.8,26.33,17.16,135.39
2613000,włoszczowski,85.5,9.8,167,632.4,55.9,18.18,32.5,24.61,20.36,102.88
2661000,m. Kielce,94.5,65.7,1747,612.4,24.3,37.25,35.73,13.08,9.65,452.33
2801000,bartoszycki,83.1,14.7,297,656.8,63.6,15.65,32.68,24.13,21.59,205.86
2802000,braniewski,80.8,11.4,118,678.0,64.4,16,33.21,22.69,22.08,229.7
2803000,działdowski,75.1,14.2,252,643.2,58.0,15.35,32.98,24.05,22.55,131.96
2804000,elbląski,77.3,6.3,40,709.4,59.9,14.23,30.41,26.93,22.62,197.71
2805000,ełcki,79.0,21.6,436,457.5,38.2,19.84,36.33,17.68,18.5,219.01
2806000,giżycki,81.7,19.5,211,585.9,45.8,19.71,34.41,20.53,19.28,1950.72
2807000,iławski,76.4,11.5,351,614.9,45.6,16.2,31.3,25.41,20.99,522.18
2808000,kętrzyński,82.6,11.6,87,601.3,29.3,16.5,34.6,21.48,21.58,258.55
2809000,lidzbarski,78.9,9.4,86,659.7,66.8,16.43,34.93,23.07,19.34,440.19
2810000,mrągowski,78.1,11.5,207,566.7,50.9,17.28,33.68,22.3,20.36,3640.47
2811000,nidzicki,76.2,7.4,78,644.7,52.0,14.98,32.22,21.49,25.6,57.49
2812000,nowomiejski,71.9,14.2,122,701.1,76.8,13.33,28.81,30.68,22,38.33
2813000,olecki,80.4,12.2,178,618.3,66.8,16.82,35.19,18.5,22.36,282.45
2814000,olsztyński,87.3,10.7,443,604.1,46.4,23.61,31.25,19.98,18.83,630.89
2815000,ostródzki,80.4,11.9,275,654.9,45.9,16.01,32.59,22.93,22.21,737.51
2816000,piski,83.9,12.3,149,552.1,52.8,15.44,32.9,19.71,25.49,1123.13
2817000,szczycieński,81.9,11.2,188,648.5,49.8,18.11,30.66,21.58,23.22,523.32
2818000,gołdapski,76.5,10.2,44,562.6,52.7,15.92,34.25,19.12,24.12,715.74
2819000,węgorzewski,78.1,15.8,90,687.7,62.6,16.7,33.92,22.19,21.41,552.82
2861000,m. Elbląg,89.7,51.8,1051,553.6,34.9,24.21,35.85,21.29,12.47,354.39
2862000,m. Olsztyn,98.5,67.7,1678,579.9,26.0,36.5,34.9,12.94,10.4,648.53
3001000,chodzieski,82.4,11.5,156,790.0,86.5,15.61,32.11,30.63,16.5,480.38
3002000,czarnkowsko-trzcianecki,88.2,7.5,244,722.1,79.7,16.17,34.83,26.06,17.16,86.77
3003000,gnieźnieński,84.3,5.2,256,664.0,60.0,18.4,33.13,28.26,14.95,265.56
3004000,gostyński,85.1,5.2,263,752.3,40.5,15.12,32.29,32.16,16.01,120.19
3005000,grodziski,80.3,5.2,110,778.4,54.6,14.18,29.88,35.39,16.01,149.72
3006000,jarociński,75.9,9.6,164,737.6,32.8,16.67,35.33,28.59,14.85,201.9
3007000,kaliski,76.0,2.5,0,760.0,49.5,17.59,30.24,26.88,21.12,128.53
3008000,kępiński,70.1,3.7,187,764.2,43.2,15.44,33.76,32.19,14.32,108.58
3009000,kolski,88.6,10.1,224,738.5,77.8,15.65,32.28,25.97,21.29,57.54
3010000,koniński,75.8,2.7,0,766.5,80.2,17.08,30.96,27.13,20.06,461.73
3011000,kościański,83.0,15.1,237,752.0,36.9,17.46,32.03,31.64,14.79,83.6
3012000,krotoszyński,72.8,8.7,197,723.3,46.8,16.05,34.64,30.71,14.2,90.57
3013000,leszczyński,89.7,2.2,122,707.1,43.5,17.78,31.24,31.44,14.87,549.26
3014000,międzychodzki,81.8,11.1,122,728.8,67.5,13.85,33.43,30.17,17.18,635.3
3015000,nowotomyski,87.0,11.0,180,789.9,60.0,16.73,31.62,32.39,14.31,322.01
3016000,obornicki,87.9,7.3,147,745.9,66.4,16.29,32.2,30.16,15.79,66.25
3017000,ostrowski,82.2,15.1,492,694.8,48.4,19.23,36.56,27,12.66,229.46
3018000,ostrzeszowski,81.3,6.7,137,765.1,61.0,16,33.93,30.33,15.21,123.46
3019000,pilski,89.2,10.0,509,646.2,62.5,20.43,35.42,22.73,15.54,205.1
3020000,pleszewski,81.0,20.3,345,821.1,35.1,16.85,32.52,30.43,15.71,234.8
3021000,poznański,86.5,4.2,309,622.2,40.1,32.26,32.21,19.29,11.32,231.6
3022000,rawicki,78.9,9.7,0,719.4,43.3,15.44,32.94,32.29,14.35,74.82
3023000,słupecki,84.9,2.9,175,766.1,77.8,16.76,31.35,28.98,18.41,182.36
3024000,szamotulski,95.5,6.8,134,752.9,55.8,17.75,34.25,28.08,15.11,114.54
3025000,średzki,90.6,3.2,147,668.5,56.3,19.79,31.49,28.17,16.24,337.47
3026000,śremski,81.1,12.7,283,675.0,46.9,18.14,33.52,28.98,14.66,136.93
3027000,turecki,77.2,7.5,156,738.4,76.9,18.19,32.8,25.31,19.05,33.59
3028000,wągrowiecki,81.3,4.5,107,743.6,63.2,15.08,31.47,31.4,17.17,167.99
3029000,wolsztyński,81.3,9.7,173,687.1,35.9,15.36,30.37,33.7,15.73,440.91
3030000,wrzesiński,86.5,14.8,191,636.1,44.3,19.36,32.36,28.25,15.65,217.99
3031000,złotowski,73.2,9.1,244,601.0,59.7,15.45,32.6,25.3,19.86,81.93
3061000,m. Kalisz,85.4,34.8,708,775.5,26.2,25.15,36.45,19.7,13.81,189.77
3062000,m. Konin,88.0,44.5,752,668.7,28.8,24.73,38.3,19.55,12.97,84.94
3063000,m. Leszno,87.3,32.2,440,632.4,32.3,26.19,36.64,20.79,10.97,132.68
3064000,m. Poznań,110.5,49.3,5097,758.3,33.9,39.31,33.16,14.27,8.64,732.53
3201000,białogardzki,84.6,15.1,168,622.0,60.4,15.2,33.27,24.28,20.58,0
3202000,choszczeński,83.3,12.0,317,679.0,71.7,14.82,32.24,24.12,22.89,92.03
3203000,drawski,80.0,11.7,227,644.3,86.8,15.58,33.52,25.05,19.38,644.18
3204000,goleniowski,92.4,11.9,174,701.4,56.8,18.58,34.04,22.4,18.52,387.06
3205000,gryficki,79.5,34.0,284,683.6,50.0,16.52,34.49,24.44,18.17,3682.48
3206000,gryfiński,88.7,7.1,49,740.6,61.8,16.25,32.09,24.79,20.66,291.94
3207000,kamieński,77.9,8.4,31,711.3,55.0,16.71,36.01,22.12,19.2,5386.85
3208000,kołobrzeski,82.8,26.5,411,615.3,38.8,21,36.91,21.15,14.86,7168.52
3209000,koszaliński,83.6,3.0,0,640.5,56.3,18.38,30.83,23.91,20.52,2819.4
3210000,myśliborski,81.5,11.7,167,733.7,57.4,15.75,33.81,24.69,19.46,256.61
3211000,policki,100.2,19.6,150,574.1,34.0,32,31.85,16.93,13.08,205.71
3212000,pyrzycki,80.2,10.4,65,748.5,58.6,14.84,32.93,24.35,21.68,59.86
3213000,sławieński,78.8,9.6,119,690.7,44.6,15.45,33.28,25.37,19.93,2888.37
3214000,stargardzki,86.0,15.9,241,637.3,45.7,20.76,35.3,21.24,16.95,255.85
3215000,szczecinecki,87.4,12.9,186,533.7,29.1,17.7,35.55,21.42,19.07,241.82
3216000,świdwiński,78.6,9.0,61,660.3,57.4,14.97,34.25,24.26,20.02,163.37
3217000,wałecki,84.7,16.8,276,600.8,76.7,18.16,34.91,22.39,18.57,365.95
3218000,łobeski,85.3,7.8,0,691.4,75.0,12.98,31.97,25.33,23.32,186
3261000,m. Koszalin,90.0,39.5,580,569.4,20.2,29.82,36.16,16.67,11.44,0
3262000,m. Szczecin,103.1,68.0,3283,595.8,24.2,32.73,34.85,15.76,10.81,553.79
3263000,m. Świnoujście,99.9,15.1,112,578.1,40.9,22.58,39.23,19.42,12.39,6948.44
